Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ
¼ÌÒµÖ®Ñªº£ÈÜ½ð½ä	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	1									694	130	702	749	746		64	5	10	131	837		
ÓùÁúÖ®·çÀ×Ñ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	1	99999	10	0	30	160	160	31																		36	120	39	1									694	588	763	638	678		65	6	6	836	837		
ÓùÁúÖ®¶¨¹â»Æ½ðîø	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	0	99999	10	0	30	720	720	31																		36	120	39	1									694	675	832	598	678		65	6	7	838	836		
ÓùÁúÖ®¿ªÉ½ÓñÅå	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	3	99999	10	0																						36	120	39	1									673	713	54	534	550		65	6	8	738	837		
ÓùÁúÖ®ÖäÌìÊøÍó	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0	30	135	135	31																		36	120	39	1									694	749	54	746	723		65	6	9	130	836		
ÓùÁúÖ®ÕýÆøÖ¸»·	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	1									694	130	702	749	746		65	6	10	131	837		
ÎÞ¼äÖ®ÔÆË®ìøÐÄÁ´	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	1	99999	10	0																						36	120	39	4									731	419	321	322	723		66	7	6	836	837		
ÎÞ¼äÖ®ÇíËªÔÌÓñ¹Ú	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	315	315	31																		36	120	39	4									694	309	702	596	420		66	7	7	838	836		
ÎÞ¼äÖ®ãåË®ÇïÉÑ	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	4	99999	10	0	30	630	630	31																		36	120	39	4									694	695	423	637	723		66	7	8	738	837		
ÎÞ¼äÖ®ÔÂÓ°ÂÖÇï¿Û	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	1	99999	10	0																						36	120	39	4									673	636	674	720	550		66	7	9	130	836		
ÎÞ¼äÖ®±ùÀá¾²ÐÄÖ¸»·	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	3	99999	10	0																						36	120	39	4									694	130	702	751	746		66	7	10	131	837		
ÎÞ÷ÊÖ®·±»¨½á	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	4	99999	10	0																						36	120	39	4									694	88	702	95	107		67	8	6	836	837		
ÎÞ÷ÊÖ®Äý±ùÓñÊÖ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	0	99999	10	0	28	46	46	29	86	86	167	0	0	31												36	120	39	4									694	596	702	639	633	157	67	8	7	838	836		
ÎÞ÷ÊÖ®ÔÆº£ÉÑ	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	4	99999	10	0	30	630	630	31																		36	120	39	4									694	695	423	637	427	597	67	8	8	738	837		
ÎÞ÷ÊÖ®ÁéÔÏÐä	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	1	99999	10	0	30	135	135	31																		36	120	39	4									694	638	720	637	702	746	67	8	9	130	836		
ÎÞ÷ÊÖ®·ðÙÊ°ãÖ¸	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	2	99999	10	0																						36	120	39	4									694	130	702	751	746		67	8	10	131	837		
ÆÜ»ËÖ®ÎàÍ©ÌýÓêÁ´	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	4	99999	10	0																						36	120	39	5									731	438	321	79	723	720	68	9	6	836	837		
ÆÜ»ËÖ®Ì¤ÔÂÁôÏãåì	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	2	99999	10	0	30	140	140	31																		36	120	39	5									694	587	702	596	723	597	68	9	7	838	836		
ÆÜ»ËÖ®»¨Óï¹Ú	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	0	99999	10	0	30	315	315	31																		36	120	39	5									694	638	702	640	723	746	68	9	8	738	837		
ÆÜ»ËÖ®Ïþº®É´ÒÂ	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	4	99999	10	0	30	630	630	31																		36	120	39	5									694	695	423	637	723	597	68	9	9	130	836		
ÆÜ»ËÖ®ÇïË®Ó³ÔÂ½ä	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	3	99999	10	0																						36	120	39	5									694	130	702	751	746		68	9	10	131	837		
BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	5									731	438	321	79	427	423	69	10	6	836	837		
±Ìº£Ö®Ðå²ÊÖ¯ÌÙåì	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	140	140	31																		36	120	39	5									694	587	702	596	637	720	69	10	7	838	836		
±Ìº£Ö®ãåÑ©ÉÑ	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	0	99999	10	0	30	630	630	31																		36	120	39	5									694	695	423	637	427	597	69	10	8	738	837		
±Ìº£Ö®²Êá°Ðä	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0	30	135	135	31																		36	120	39	5									694	637	702	682	427	746	69	10	9	130	836		
±Ìº£Ö®Ìì÷È½ä	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	5									694	130	702	751	746		69	10	10	131	837		
ÓÄëÊÖ®¶áÃüÏîÈ¦	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	3									731	732	79	842	733	640	70	11	6	836	837		
ÓÄëÊÖ®°×¹Ç×¦	0	0	6	\spr\item\equip\bangle\obj-bangle18.spr	9	1	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	2	99999	10	0	28	46	46	29	86	86	167	0	0	31												36	120	39	3									694	597	702	720	839	302	70	11	7	838	836		
ÓÄëÊÖ®±ÌÑæÅå	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	3	99999	10	0																						36	120	39	3									673	713	674	534	550		70	11	8	738	837		
ÓÄëÊÖ®ÊÉ»ê½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	1	99999	10	0																						36	120	39	3									694	637	702	746	733		70	11	9	130	836		
ÓÄëÊÖ®µÎÑª½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	3									694	130	702	378	746		70	11	10	131	837		
Ú¤»ÃÖ®ÊÉÑªÃðÆø·û	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	3									731	598	321	322	723	720	71	12	6	836	837		
Ú¤»ÃÖ®Íò¶¾·ÙÐÄÑ¥	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	140	140	31																		36	120	39	3									694	589	702	587	637		71	12	7	838	836		
Ú¤»ÃÖ®Ç§Ó°Éã¹íÃ± 	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	2	99999	10	0	30	315	315	31																		36	120	39	3									694	637	702	423	723	746	71	12	8	738	837		
Ú¤»ÃÖ®¿ÝÄ¾¶ÏË®Åå	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0																						36	120	39	3									673	713	674	534	550		71	12	9	130	836		
Ú¤»ÃÖ®ÆúÊ¬¶áÉñ½ä 	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	1	99999	10	0																						36	120	39	3									694	130	702	378	746		71	12	10	131	837		
±ùº®Ö®ÎÞÎÒ·û	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	4	99999	10	0																						36	120	39	2									731	438	321	79	723	640	72	13	6	836	837		
±ùº®Ö®²Ô¶Ð½í	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	0	99999	10	0	30	315	315	31																		36	120	39	2									694	598	702	439	723	597	72	13	7	838	836		
±ùº®Ö®°µÏãÍó	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	1	99999	10	0	30	111	111	31																		36	120	39	2									694	596	702	423	724	597	72	13	8	738	837		
±ùº®Ö®¸¡¹â½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	2	99999	10	0																						36	120	39	2									694	637	702	746	723		72	13	9	130	836		
±ùº®Ö®ÂÓÓ°½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	3	99999	10	0																						36	120	39	2									694	130	702	378	746		72	13	10	131	837		
Ìì¹âÖ®ÑÌÓê½í	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0	30	315	315	31																		36	120	39	2									694	598	702	439	723	640	73	14	6	836	837		
Ìì¹âÖ®çÎç¿ÒÂ	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	4	99999	10	0	30	720	720	31																		36	120	39	2									694	695	423	637	723	313	73	14	7	838	836		
Ìì¹âÖ®ÇàÔÆÍó	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	1	99999	10	0	30	111	111	31																		36	120	39	2									694	596	702	423	724	313	73	14	8	738	837		
Ìì¹âÖ®°Ù´âÅå	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	1	99999	10	0																						36	120	39	2									673	841	674	534	550		73	14	9	130	836		
Ìì¹âÖ®Çã³Ç½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	3	99999	10	0																						36	120	39	2									694	130	702	378	746		73	14	10	131	837		
É­»ÄÖ®ÄýË¼Á´	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	4	99999	10	0																						36	120	39	2									731	438	321	79	723	640	74	15	6	836	837		
É­»ÄÖ®×ÝÔÆ½í	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	0	99999	10	0	30	315	315	31																		36	120	39	2									694	598	702	439	723	597	74	15	7	838	836		
É­»ÄÖ®Ñ°×ÙÍó	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	1	99999	10	0	30	111	111	31																		36	120	39	2									694	596	702	423	724	597	74	15	8	738	837		
É­»ÄÖ®·É»¨½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	2	99999	10	0																						36	120	39	2									694	637	702	746	723		74	15	9	130	836		
É­»ÄÖ®ÕªÒ¶½ä	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	3	99999	10	0																						36	120	39	2									694	130	702	378	746		74	15	10	131	837		
Í¬³ðÖ®Ë«ÁúÏ·Ë®·û	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	1	99999	10	0																						36	120	39	6									731	321	322	732	150		75	16	6	836	837		
Í¬³ðÖ®ÇÜÁú²øÊÖ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	3	99999	10	0	28	46	46	29	86	86	167	0	0	31												36	120	39	6									694	598	702	439	840	164	75	16	7	838	836		
Í¬³ðÖ®ÉñÁú°ÚÎ²Ñ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	4	99999	10	0	30	140	140	31																		36	120	39	6									694	587	702	596	150		75	16	8	738	837		
Í¬³ðÖ®·ÉÁúÔÚÌì»·	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0	30	315	315	31																		36	120	39	6									694	637	702	423	150	322	75	16	9	130	836		
Í¬³ðÖ®ÁùÁú²¼Óê½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	2	99999	10	0																						36	120	39	6									694	130	702	752	746		75	16	10	131	837		
µÐâéÖ®»ëÌì·û	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	6									731	79	438	322	723	720	76	17	6	836	837		
µÐâéÖ®åÐÒ£²Ýåì	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	140	140	31																		36	120	39	6									694	587	702	596	723		76	17	7	838	836		
µÐâéÖ®ÅÌÁúÍ·½í	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	2	99999	10	0	30	315	315	31																		36	120	39	6									694	637	702	423	723	322	76	17	8	738	837		
µÐâéÖ®Í¨Ìì¿Û	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0																						36	120	39	6									673	713	674	534	550		76	17	9	130	836		
µÐâéÖ®ÓÎÁú½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	6									694	130	702	752	746		76	17	10	131	837		
Ä§É·Ö®ß±ÁúÐ¶»ËÁ´	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	7									731	598	317	322	723		77	18	6	836	837		
Ä§É·Ö®ÆÆ·ç¶ÙÐõÑ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	140	140	31																		36	120	39	7									694	587	702	596	723		77	18	7	838	836		
Ä§É·Ö®ÖðÈÕ×ÆÔÂÅå	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	3	99999	10	0																						36	120	39	7									673	713	674	534	550		77	18	8	738	837		
Ä§É·Ö®·ÙÌì³ãµØÍó	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0	30	140	140	31																		36	120	39	7									694	596	702	746	723	597	77	18	9	130	836		
Ä§É·Ö®´ã»ð dË®½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	7									694	130	702	752	746		77	18	10	131	837		
Ä§ÊÈÖ®³àÏö·û	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	1	99999	10	0																						36	120	39	7									731	321	597	637	150		78	19	6	836	837		
Ä§ÊÈÖ®²Ø»ðµ¶	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	3	99999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	120	39	7									694	598	702	439	840	165	78	19	7	838	836		
Ä§ÊÈÖ®³àÁ¶¼×	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	1	99999	10	0	30	720	720	31																		36	120	39	7									701	695	642	638	702		78	19	8	738	837		
Ä§ÊÈÖ®µØÑ×»¤Íó	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	0	99999	10	0	30	140	140	31																		36	120	39	7									694	596	702	746	150		78	19	9	130	836		
Ä§ÊÈÖ®éäÈÕ½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	7									694	130	702	752	746		78	19	10	131	837		
ÁèÔÀÖ®Ì«ÒÒ»¤·û	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	3	99999	10	0																						36	120	39	8									107	92	702	96	706	694	79	20	6	836	837		
ÁèÔÀÖ®Óù·çÑ¥ 	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	0	99999	10	0	30	140	140	31																		36	120	39	8									694	587	702	637	722		79	20	7	838	836		
ÁèÔÀÖ®Óð»¯ÏÉ¹Ú	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	4	99999	10	0	30	315	315	31																		36	120	39	8									694	638	702	439	596		79	20	8	738	837		
ÁèÔÀÖ®ÎÞÏóÅÛ	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	8	0	30	630	630	31																		36	120	39	8									694	695	720	637	598		79	20	9	130	836		
ÁèÔÀÖ®ÉÏÉÆÈôË®Íó	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	2	99999	10	0	30	140	140	31																		36	120	39	8									694	130	702	753	746	302	79	20	10	131	837		
¼°·áÖ®±ÌÔÂµÇÔÆÑ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	1	99999	10	0	30	140	140	31																		36	120	39	8									694	587	702	419	723	423	80	21	6	836	837		
¼°·áÖ®Æ¾Ðé¹Ú	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	2	99999	10	0	30	315	315	31																		36	120	39	8									694	598	702	439	723		80	21	7	838	836		
¼°·áÖ®Á½ÒÇÅÛ	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	0	99999	8	0	30	630	630	31																		36	120	39	8									694	695	423	598	723	597	80	21	8	738	837		
¼°·áÖ®×ÏÏ¼Åå	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	3	99999	10	0																						36	120	39	8									673	713	674	534	550		80	21	9	130	836		
¼°·áÖ®»¯µû×øÍü½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	8									694	130	702	753	746		80	21	10	131	837		
Ëª¾§Ö®·çÀ×»¤ÐÄ·û	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0																						36	120	39	9									731	79	419	322	723	694	81	22	6	836	837		
Ëª¾§Ö®²½î¸Ì¤¶·Ñ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	1	99999	10	0	30	140	140	31																		36	120	39	9									694	587	702	622	723	640	81	22	7	838	836		
Ëª¾§Ö®Ðþµä´¿Ñô¹Ú	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	2	99999	10	0	30	315	315	31																		36	120	39	9									694	637	702	439	723	419	81	22	8	738	837		
Ëª¾§Ö®¾ÅÏö×ðµÀÅÛ	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	0	99999	8	0	30	630	630	31																		36	120	39	9									694	695	423	637	723	746	81	22	9	130	836		
Ëª¾§Ö®ÇýÐ°ÕòÉ·½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	4	99999	10	0																						36	120	39	9									694	130	702	753	746		81	22	10	131	837		
À×ñ·Ö®±±Ç¬Ñ¥	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	»Æ½ð×°±¸£¬Ì××°µÚÁù¼þ	0	99999	10	0	30	140	140	31																		36	120	39	9									694	587	702	637	722	636	82	23	6	836	837		
À×ñ·Ö®ÆßÐÇ½£	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	»Æ½ð×°±¸£¬Ì××°µÚÆß¼þ	4	99999	10	0	28	46	46	29	86	86	167	0	0	31												36	120	39	9									694	597	702	423	634	168	82	23	7	838	836		
À×ñ·Ö®ÓñÊàÅÛ	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	»Æ½ð×°±¸£¬Ì××°µÚ°Ë¼þ	3	99999	8	0	30	630	630	31																		36	120	39	9									694	695	720	637	598		82	23	8	738	837		
À×ñ·Ö®ÐÇ³½Åå	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	»Æ½ð×°±¸£¬Ì××°µÚ¾Å¼þ	2	99999	10	0																						36	120	39	9									673	713	674	534	550		82	23	9	130	836		
À×ñ·Ö®±ÌÂä½ä	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	»Æ½ð×°±¸£¬Ì××°µÚÊ®¼þ	1	99999	10	0																						36	120	39	9									694	130	702	753	746		82	23	10	131	837		
